food,characteristic,p_values
F22D4,diabetes,0.5078778806799444
GROUP_TOMATO_VEGETABLE_JUICE_TOTAL_GRAMS,heart_disease,0.5079104327934625
SUP_OM_3,atheist,0.5079124969445773
PICKLESQUAN,atheist,0.5079324093880782
PICKLESQUAN,noCrash,0.5079324093880787
RAWTOMATOESQUAN,right_hand,0.5079324093880803
BUTTERQUAN,dog,0.5079471208137967
CHOLNPTC,Jewish,0.50808103486363
GROUP_CHEX_WHEAT_TOTAL_GRAMS,quit_smoking,0.5080920793040633
GROUP_CHEX_WHEAT_TOTAL_GRAMS,favCable,0.5080920793040635
BARBECUESAUCEQUAN,neutralCable,0.5081190799029977
DT_S080,heart_disease,0.5081909574979537
SALADDRESSINGSFREQ,quit_smoking,0.5083104405119239
PRO_G,mathReading,0.5083194335863663
PEANUTBUTTERQUAN,favCable,0.5083831700094459
SOLID_FATS,diabetes,0.5084199029950907
BUNSTYPE,heart_disease,0.5084223067141647
SLICEDCHEESEQUAN,cancer,0.5084731750045406
T_FLAVONOLS,atheist,0.5085573717074825
ASH,diabetes,0.5085641195762851
GROUP_REFRIED_BEANS_HUMMUS_TOTAL_GRAMS,favCable,0.5085787006618542
SUP_VITC,noCrash,0.5085822254786632
OILS,atheist,0.5085916555832436
SAUCEICECREAMQUAN,neutralCable,0.5085943288754156
SAUCEICECREAMQUAN,uhCrash,0.5085943288754163
COTTAGECHEESEQUAN,uhCrash,0.5085943288754171
VITAMINEQUAN,left_hand,0.5086042375386266
VITAMINEQUAN,yesCrash,0.5086042375386266
GROUP_BROWN_RICE_DISHES_WITH_TOTAL_GRAMS,smoke_rarely,0.5086070696396515
GROUP_MILKY_COFFEE_DRINK_ANY_KIND_TOTAL_GRAMS,unfavCable,0.5086173491891394
BUTTERFREQ,atheist,0.50873291467677
OYSTERSQUAN,Dems,0.5087329146767706
SWEETPOTATOESQUAN,atheist,0.5087967880734008
GROUP_MELONS_YEAR_ROUND_TOTAL_GRAMS,smoke_often,0.5088081770044613
GROUP_BEER_NON_ALCOHOLIC_TOTAL_GRAMS,favCable,0.5088598187039964
GROUP_SPAGHETTI_WITH_MEAT_TOTAL_GRAMS,atheist,0.5088636112570741
GROUP_BREAKFAST_PASTRY_MUFFINS_QUICK_BREAD_TOTAL_GRAMS,heart_disease,0.5088724678670167
GROUP_COOK_FAT_CANOLA_SAFFLOWER_OILS_TOTAL_GRAMS,readingMath,0.5089064813655425
LYS_G,unfavCable,0.5089347564565778
GROUP_TACOS_BURRITOS_ENCHILADAS_WITH_MEAT_TOTAL_GRAMS,mathReading,0.5089488310272225
GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS,cancer,0.5089697869801343
DT_S160,smoke_often,0.5091789609414159
OTHERBREADSFREQ,Jewish,0.5091940089182496
GROUP_RIBS_SPARERIBS_BBQ_TOTAL_GRAMS,dog,0.509263564776644
SODATYPE,ever_smoked,0.5092810228826806
SODATYPE,never_smoked,0.5092810228826807
SODATYPE,readingMath,0.5092810228826812
CALCIUMAMOUNT,smoke_often,0.5092828831593614
DT_MOIS,Jewish,0.5093224012562463
GROUP_A_SUGBEV_TOTAL_KCAL,ever_smoked,0.5093313552028702
GROUP_A_SUGBEV_TOTAL_KCAL,never_smoked,0.5093313552028707
CHOCOLATECANDYFREQ,readingMath,0.509419137723945
PF_SEAFD_HI,noCrash,0.5094821324312822
ERGCAL,diabetes,0.5094868551409695
PSOILS,atheist,0.5094939680696661
DT_CALC,rash,0.5095124268717619
GROUP_WHOLE_GRAIN_CRACKERS_REGULAR_TOTAL_GRAMS,smoke_often,0.5095209308319899
GROUP_KETCHUP_SALSA_TOTAL_GRAMS,diabetes,0.5097617728348999
MALS,mathReading,0.5098258969053455
GROUP_COFFEE_BOTH_KINDS_TOTAL_GRAMS,left_hand,0.5098634518773277
A_BEAN_S,cat,0.5099423975100719
OTHERSOUPFREQ,belly,0.5099648948222457
GROUP_TOFU_OR_TEMPEH_TOTAL_GRAMS,left_hand,0.5099737293794439
GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS,diabetes,0.5100532456236851
T_ISOFLAVONES,currently_smoke,0.5100559993059608
GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS,smoke_often,0.5100563976897886
CANNEDFRUITFREQ,rash,0.5101385785881565
CYAD,noCrash,0.5101774647229719
D_TOTAL,smoke_rarely,0.510185533503513
PSDAIRY,smoke_rarely,0.510185533503513
DT_S080,currently_smoke,0.5102731524488453
PANCAKEFREQ,favCable,0.5102733865914719
ROASTCHICKENFREQ,heart_disease,0.5103337783333912
WHOLEGRAINCEREALFREQ,currently_smoke,0.5103944153167366
F13D0,never_smoked,0.5104090974157985
F13D0,ever_smoked,0.5104090974157987
GROUP_HIGH_PROTEIN_BAR_TOTAL_GRAMS,readingMath,0.5104115080075824
GROUP_SODA_DIET_CAFFEINE_TOTAL_GRAMS,smoke_often,0.5104368386117635
GROUP_HIGH_PROTEIN_DRINKS_LOW_CARB_TOTAL_GRAMS,rash,0.5104502284685535
GROUP_GRAVY_RICH_SAUCE_PEANUT_SAUCE_MOLE_TOTAL_GRAMS,Jewish,0.5105598483261173
GROUP_CARROTS_CARROT_MIXES_TOTAL_GRAMS,Dems,0.5106368092076341
DT_FOLAC,cancer,0.5107090856100696
SUP_IRON,cancer,0.510709829043912
DT_P184,quit_smoking,0.510747976575098
GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS,heart_disease,0.5107835831643881
GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS,cat,0.5107835831643881
ENERGYDRINKSQUAN,cat,0.5109809455830245
CHOLNPTC,uhCrash,0.5110624165443807
F18D3CN6,noCrash,0.5110925767518204
D_MILK,diabetes,0.511179378778021
GROUP_PEACH_NECTARINE_TOTAL_GRAMS,smoke_often,0.511194179236278
LEMONADEQUAN,quit_smoking,0.5111979729688483
LENTILSOUPQUAN,favCable,0.5111979729688518
TOCPHG,ever_smoked,0.5112205907129785
TOCPHG,never_smoked,0.5112205907129785
GROUP_CEREAL_GRANOLA_BARS_TOTAL_GRAMS,diabetes,0.5113414442275579
F22D1T,noCrash,0.51138686696793
A_BEV_KC,uhCrash,0.5113945385909109
GROUP_LUNCH_MEATS_POULTRY_LOW_FAT_TOTAL_GRAMS,favCable,0.511456223011594
DT_MOIS,uhCrash,0.5114833986201076
CATECHIN,smoke_rarely,0.5115492162905977
PEANUTBUTTERFREQ,smoke_rarely,0.5116148990492305
SUP_MG,yesCrash,0.5117421613287237
FATOILFREQ,currently_smoke,0.5118735765871336
BCOMPLEXTYPEVITSAMOUNT,readingMath,0.5119889696740856
COOKIESFREQ,cancer,0.5120280278777922
BRISKWALKTIME,heart_disease,0.5120570894479972
GROUP_OTHER_MILK_ALMOND_TOTAL_GRAMS,Dems,0.5120746075191221
PUDDINGFREQ,right_hand,0.5120917019277271
DT_IRON,cancer,0.5121016537920002
BCOMPLEXTYPEVITSAMOUNT,left_hand,0.5121695251719292
CHILDCAREFREQ,quit_smoking,0.5122263022449949
PF_SEAFD_HI,heart_disease,0.5122874876474588
DT_S060,quit_smoking,0.51240424979506
T_FLAVONES,rash,0.5124936850768682
GROUP_SHELLFISH_EXCEPT_OYSTERS_TOTAL_GRAMS,atheist,0.5125515319481222
GROUP_REFRIED_BEANS_HUMMUS_TOTAL_GRAMS,unfavCable,0.5125538948937667
SLICEDCHEESETYPE,noCrash,0.5126050825995715
D_CHEESE,dog,0.5126193760747427
GLYCTEIN,Jewish,0.5126587844788948
GROUP_REGULAR_KOOLAID_TOTAL_GRAMS,heart_disease,0.5128832500089411
GROUP_HOT_TEA_DECAF_TOTAL_GRAMS,rash,0.5128835595681349
GROUP_SWEETS_TOTAL_FREQUENCY,quit_smoking,0.5129454030348279
ICECREAMQUAN,neutralCable,0.5129703058684094
JOBWALKFREQ,uhCrash,0.5130699991856995
CREAMCHEESEQUAN,neutralCable,0.5130699991857004
F18D2I,Dems,0.5131049528729492
DT_CRYPT,right_hand,0.5132126253906137
COOKEDGREENSFREQ,right_hand,0.5132403177715357
DT_FOLAC,uhCrash,0.5132718772514455
HEAVYWORKTIME,neutralCable,0.5132739508087204
F22D1T,Jewish,0.5133046594049353
CATECHIN,smoke_often,0.5133103778176966
A_BEAN_S,favCable,0.5134494647980314
GROUP_BREAD_MULTI_GRAIN_TOTAL_GRAMS,smoke_rarely,0.5134584940774212
GROUP_BUTTER_AT_TABLE_TOTAL_GRAMS,cancer,0.5134746358730862
PF_MPS_TOTAL,Jewish,0.513492705774788
PSMFP,Jewish,0.513492705774788
BAGELTYPE,cancer,0.5135050412116731
DT_VB12,mathReading,0.5135396785728308
GROUP_HOT_DOG_POULTRY_LOW_FAT_TOTAL_GRAMS,smoke_rarely,0.5136143565448454
GROUP_ALCOHOLICBEVERAGES_TOTAL_KCAL,uhCrash,0.5136248150901792
COCOAFREQ,Jewish,0.5136647891611228
PSLEGSOY,cat,0.513718234843139
MELONSQUAN,Dems,0.5137194304500927
GNSTEIN,Jewish,0.5137399968163388
GROUP_CAKE_REGULAR_TOTAL_GRAMS,favCable,0.5137574168233768
LUTEOL,belly,0.5138050220198676
OTHERFISHQUAN,cancer,0.5138435333109812
GROUP_RAISINS_DRIED_FRUIT_TOTAL_GRAMS,never_smoked,0.5138453377534556
GROUP_RAISINS_DRIED_FRUIT_TOTAL_GRAMS,ever_smoked,0.5138453377534559
GROUP_CHEESE_FULL_FAT_TOTAL_GRAMS,smoke_rarely,0.5138523410797258
LUNCHMEATQUAN,mathReading,0.5138693989948976
GI,belly,0.5138745161442375
GROUP_BEER_REGULAR_TOTAL_GRAMS,unfavCable,0.513875005557276
TOFUFREQ,cat,0.5139169081265784
GROUP_ICE_CREAM_FROZEN_YOGURT_LOW_FAT_TOTAL_GRAMS,readingMath,0.513980206544488
PSLEGSOY,favCable,0.5139845703025816
WINEFREQ,cat,0.5140323366781046
FRIEDORBREADEDCHICKENQUAN,rash,0.5140403721138236
SUP_IRON,neutralCable,0.5141140268430491
GROUP_OTHER_NOODLES_WHOLE_GRAIN_TOTAL_GRAMS,atheist,0.5142622848698996
VITAMINCQUAN,smoke_rarely,0.5142900342161929
FRIEDORBREADEDCHICKENFREQ,noCrash,0.5143073557039599
FRIEDORBREADEDCHICKENFREQ,atheist,0.5143073557039604
EGGSFREQ,ever_smoked,0.5143073557039606
EGGSFREQ,never_smoked,0.5143073557039607
DT_S140,rash,0.5143128441982432
GROUP_OTHER_CRACKERS_PRETZELS_LOW_FAT_TOTAL_GRAMS,dog,0.5144328705109122
PAC10,noCrash,0.5144338886709965
HOTTEAFREQ,currently_smoke,0.5144463824444263
HOTTEAFREQ,belly,0.5144463824444269
SWEETPOTATOESQUAN,ever_smoked,0.5145641613862649
SWEETPOTATOESQUAN,never_smoked,0.5145641613862649
DT_THIA,currently_smoke,0.5146152498828651
HOTDOGTYPE,rash,0.5146531610573061
AVOCADOFREQ,Dems,0.5147345068414715
F_TOTAL,noCrash,0.5147815322153946
PSFRUIT,noCrash,0.5147815322153946
OTHERSOUPFREQ,unfavCable,0.5148093812429153
SLOWWALKFREQ,rash,0.5148319098891059
GALCATEGC,favCable,0.5148532293537224
CHOLNPTC,quit_smoking,0.5149121792234399
GROUP_SALAD_DRESSING_REGULAR_TOTAL_GRAMS,Jewish,0.5150611555106126
COOKINGFATCANOLA,diabetes,0.5150712062047067
GROUP_MIXED_DISH_WITH_BEEF_PORK_TOTAL_GRAMS,yesCrash,0.5151209451052712
GROUP_NON_FAT_SKIM_MILK_TOTAL_GRAMS,never_smoked,0.5151830167744528
GROUP_NON_FAT_SKIM_MILK_TOTAL_GRAMS,ever_smoked,0.5151830167744531
MALS,Jewish,0.5152872732149545
DT_S100,quit_smoking,0.5155252810631349
LENTILSOUPFREQ,yesCrash,0.5155593294058383
GROUP_RAW_TOMATOES_TOTAL_GRAMS,smoke_rarely,0.5156722575656054
HOTDOGQUAN,quit_smoking,0.5156923750726362
REFRIEDBEANSQUAN,smoke_rarely,0.5157256133215896
TOMATOJUICEQUAN,cancer,0.5157751480151893
GROUP_REDUCED_FAT_2_PCT_MILK_TOTAL_GRAMS,right_hand,0.5157818558359744
CREAMINTEA,atheist,0.5158630981845518
CHEERIOSPLAINTYPE,currently_smoke,0.5158630981845529
HONBUNCHOATSTYPE,currently_smoke,0.5158630981845529
RAISINBRANTYPE,currently_smoke,0.5158630981845529
COOKINGFATCORN,currently_smoke,0.5158630981845529
CREAMINTEA,right_hand,0.5158630981845533
SAUCEICECREAMQUAN,belly,0.5158630981845536
OTHERWHOLEGRAINCEREALTYPE,currently_smoke,0.5158630981845536
BUNSQUAN,belly,0.5158630981845538
RAISINBRANTYPE,belly,0.5158630981845538
CHEERIOSPLAINTYPE,belly,0.515863098184554
HONBUNCHOATSTYPE,belly,0.515863098184554
COOKINGFATCORN,belly,0.515863098184554
JOBLIFTTIME,noCrash,0.515863098184554
FISHOILTYPE,atheist,0.515863098184554
FISHOILTYPE,right_hand,0.5158630981845544
JOBLIFTTIME,right_hand,0.5158630981845547
CREAMINTEA,noCrash,0.5158630981845593
SODAFREQ,readingMath,0.5158776132480107
V_OTHER,dog,0.5159769007587867
F18D1TN7,cat,0.5160126731359926
DT_CHOL,smoke_often,0.516038079409491
OXALIC_ACID,cat,0.5160608760486123
F15D1,left_hand,0.5161812946386779
GROUP_POPCORN_REGULAR_TOTAL_GRAMS,currently_smoke,0.5161886386132737
GROUP_GREENS_SPINACH_COOKED_TOTAL_GRAMS,readingMath,0.5161924952633188
WEEDYARDTIME,diabetes,0.5163402815425282
GROUP_SHREDDED_WHEAT_TOTAL_GRAMS,rash,0.5163691627418994
SALTFREQ,rash,0.51654506888364
SALSAQUAN,diabetes,0.5165464125691434
IRONAMOUNT,currently_smoke,0.5165541712236571
GROUP_POULTRY_UNCOATED_TOTAL_GRAMS,belly,0.5165555933535827
GROUP_BREAD_MULTI_GRAIN_TOTAL_GRAMS,never_smoked,0.5165649759262559
GROUP_BREAD_MULTI_GRAIN_TOTAL_GRAMS,ever_smoked,0.5165649759262567
MYRIC,neutralCable,0.516679766993344
FATOILFREQ,neutralCable,0.5166888036682922
AA_BEV,heart_disease,0.5167568700007564
ORANGEJUICEFREQ,mathReading,0.5168887529088418
FLD,right_hand,0.51689828014027706
GROUP_FEET_NECK_TAIL_TONGUE_CHITLINS_TOTAL_GRAMS,cat,0.5169098018148461
DT_P205,smoke_often,0.5169405359807084
ICEDTEATYPE,quit_smoking,0.5169739815954251
ICEDTEATYPE,favCable,0.5169739815954256
COCOAQUAN,dog,0.5169743560569137
DT_S040,quit_smoking,0.5170410797948382
CHOLNPC,right_hand,0.5170454748781592
EGGROLLFREQ,neutralCable,0.517148293665337
A_BEAN_S,left_hand,0.5172210457882848
DT_POTA,diabetes,0.5174094806293335
GLYCTEIN,cat,0.5174601930109941
F17D0,yesCrash,0.5175250987503823
STARCH,right_hand,0.5175922743412209
F_WHOLE,cancer,0.517641448294069
GROUP_STEAK_ROAST_FAT_ON_TOTAL_GRAMS,belly,0.51765079972131
A_BEV_KC,unfavCable,0.5176552876204672
F20D0,neutralCable,0.51768268936665
MODMINS,unfavCable,0.5177167088364343
APPLESQUAN,unfavCable,0.517735397345298
GROUP_WATER_BOTTLED_OR_TAP_TOTAL_GRAMS,readingMath,0.5178818049434781
PSLEGSOY,left_hand,0.5178995741806377
NARING,left_hand,0.5179056391347472
COFFEEDRINKSFREQ,smoke_often,0.5179089340127607
BOTHKINDSCOFFEETYPE,cancer,0.5180164541179799
DECAFHOTTEATYPE,cancer,0.5180164541179801
SHREDDEDWHEATTYPE,cancer,0.5180164541179804
OTHERUNSWEETCEREALTYPE,cancer,0.5180164541179867
TOCTRB,smoke_rarely,0.5180186888386262
BCOMPLEXTYPEVITSYEARS,left_hand,0.5181037422983586
BCOMPLEXTYPEVITSYEARS,yesCrash,0.5181037422983589
COOKIESQUAN,mathReading,0.5182264118043511
DT_SFAT,cat,0.5183095983642299
GROUP_LATTE_CAPPUCCINO_SOY_MILK_TOTAL_GRAMS,Dems,0.518389698092594
DT_ALCO,dog,0.5183942049890384
GALCATEGC,Dems,0.518409302611565
F_JUICE,readingMath,0.5185635156455635
GROUP_CEREAL_GRANOLA_BARS_TOTAL_GRAMS,smoke_rarely,0.5187558662675951
GROUP_COFFEE_DECAF_TOTAL_GRAMS,noCrash,0.5187561293449516
GROUP_COFFEE_DECAF_TOTAL_GRAMS,atheist,0.5187561293449516
GROUP_MEAT_SUBSTITUTES_VEGETABLE_MEATS_TOTAL_GRAMS,atheist,0.5187869283444368
HOTTEAQUAN,belly,0.5188698566134812
LIVERFREQ,dog,0.5188831553939983
BREAKFASTSANDWICHFREQ,Jewish,0.5189008977955414
GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS,smoke_rarely,0.5189229841121374
CATECHIN,left_hand,0.5189452527521696
F18D2TT,neutralCable,0.5189892033174569
GROUP_WHITE_RICE_DISHES_WITH_TOTAL_GRAMS,dog,0.5189978377023869
PASTRIESFREQ,cancer,0.5190008509859549
OTHERFRUITJUICESFREQ,readingMath,0.5190272584316901
POPSICLESFREQ,left_hand,0.5190548096842994
POPSICLESFREQ,yesCrash,0.5190548096842994
OTHERNOODLESTYPE,unfavCable,0.5191544760305602
PHYTIC_ACID,Dems,0.5193005821507468
SUP_FOL,belly,0.5193246251742994
COCKTAILSQUAN,mathReading,0.519326429151601
DT_POTA,noCrash,0.5193543143974408
RIBSFREQ,uhCrash,0.519387088076465
F18D2TT,currently_smoke,0.5193957383978558
DT_SEL,Dems,0.5194187761308382
T_FLAVONES,Dems,0.5194416805610976
VEALLAMBGAMEFREQ,yesCrash,0.5194690093866157
THEAFLV3G,currently_smoke,0.5194976844661218
FORMONONETIN,cancer,0.5195703028906189
DT_P182,yesCrash,0.5197068261239831
SER_G,rash,0.5197260588454804
SUP_VK,smoke_often,0.5197676404303231
SUP_VK,Jewish,0.5197676404303233
VITAMINEAMOUNT,quit_smoking,0.5198051822630256
WHITERICEQUAN,smoke_often,0.5198066397720441
GREENBEANSFREQ,mathReading,0.5198253975106761
HEAVYWORKTIME,Jewish,0.519844686943078
SALTQUAN,Jewish,0.5198446869430781
CALCIUMQUAN,left_hand,0.5198664751052413
DT_SFAT,atheist,0.5199093031129755
A_DRINKS,dog,0.5199458000587309
MAYOTYPE,neutralCable,0.5200555532927561
MEATBALLSFREQ,belly,0.5201080611703357
GROUP_SOLID_TOTAL_GRAMS,belly,0.5201324941904164
BISCUITQUAN,favCable,0.5201892188311303
BISCUITQUAN,quit_smoking,0.5201892188311311
DT_IRON,neutralCable,0.5202267308642133
GROUP_ICE_CREAM_FROZEN_YOGURT_LOW_FAT_TOTAL_GRAMS,uhCrash,0.5202525004882508
MYRIC,left_hand,0.5202861082271093
VEGETABLESOUPQUAN,smoke_often,0.5203174140205447
DONUTSQUAN,smoke_often,0.5203174140205447
WATERFREQ,cancer,0.520317414020547
GROUP_PUMPKIN_SWEET_POTATO_PIE_TOTAL_GRAMS,favCable,0.5203927245297767
DT_PROT_VEGETABLE,mathReading,0.5203967404740131
BOTHKINDSHOTTEATYPE,favCable,0.5204087475795481
T_ISOFLAVONES,Jewish,0.5204199067390423
COFFEEDRINKSTYPE,Jewish,0.5204616896270088
TOMATOJUICEFREQ,atheist,0.5206657325775832
GROUP_CREAM_CHEESE_SOUR_CREAM_DIP_TOTAL_GRAMS,cat,0.520676283471817
BEEFPORKDISHQUAN,unfavCable,0.520695204605689
MARGARINEFREQ,dog,0.5207426256533327
F20D2CN6,Jewish,0.5207633419287345
TYR_G,belly,0.5207928544689051
BROCCOLIFREQ,cancer,0.5208636237555571
SUP_B6,unfavCable,0.5209305167792442
F_CITMLB,diabetes,0.5209354345602282
SUP_CU,smoke_often,0.5209463269404981
SUP_CU,Jewish,0.5209463269404981
ORANGESFREQ,smoke_rarely,0.5210968878230519
CHOLNSM,cancer,0.5211091986729606
AF_TOT_S,cancer,0.521123148563045
GROUP_OTHER_NOODLES_PASTA_MIX_TOTAL_GRAMS,Dems,0.5211360577904668
PANCAKEFREQ,mathReading,0.5211715431456041
JOBSTANDTIME,mathReading,0.5211715431456045
PF_MEAT,unfavCable,0.5211847943088976
FIBERSUPPYEARS,currently_smoke,0.5214102737810464
FIBERSUPPYEARS,belly,0.5214102737810472
JOBLIFTFREQ,belly,0.5214102737810472
FRIEDORBREADEDFISHQUAN,unfavCable,0.5214432440073388
PUDDINGQUAN,unfavCable,0.5214432440073388
SUGARINCOFFEE,unfavCable,0.5214432440073399
VITAMINB12AMOUNT,left_hand,0.5214591991706273
EGGSQUAN,uhCrash,0.5214871938008667
FIBERSUPPAMOUNT,cat,0.5214957763434752
GROUP_BREAD_MIX_TOTAL_GRAMS,Dems,0.5214975003982831
GROUP_CAKE_LOW_FAT_TOTAL_GRAMS,never_smoked,0.5215678516277531
GROUP_ICE_CREAM_LOW_SUGAR_TOTAL_GRAMS,never_smoked,0.5215678516277531
GROUP_FRAPPUCCINO_1_PCT_OR_2_PCT_MILK_TOTAL_GRAMS,never_smoked,0.5215678516277531
GROUP_FRAPPUCCINO_1_PCT_OR_2_PCT_MILK_TOTAL_GRAMS,ever_smoked,0.5215678516277533
SPECIALKFLAVSTYPE,never_smoked,0.5215678516277533
SUP_LZ,never_smoked,0.5215678516277533
CHEXOTHERTYPE,readingMath,0.5215678516277533
LIFETYPE,readingMath,0.5215678516277533
FLAXHEMPSEEDOILTYPE,readingMath,0.5215678516277533
GROUP_APPLE_JACKS_COOKIE_CRISP_TOTAL_GRAMS,ever_smoked,0.5215678516277534
GROUP_CAKE_LOW_FAT_TOTAL_GRAMS,ever_smoked,0.5215678516277534
GROUP_ICE_CREAM_LOW_SUGAR_TOTAL_GRAMS,ever_smoked,0.5215678516277534
COOKINGFATSTICKMARG,never_smoked,0.5215678516277534
ANTIOXIDANTCOMBOYEARS,never_smoked,0.5215678516277534
VITAMINAYEARS,never_smoked,0.5215678516277534
OMEGA3DONTKNOWTYPE,never_smoked,0.5215678516277534
GROUP_APPLE_JACKS_COOKIE_CRISP_TOTAL_GRAMS,never_smoked,0.5215678516277534
GROUP_COCOA_KRISPIES_PEBBLES_PUFFS_TOTAL_GRAMS,readingMath,0.5215678516277534
GROUP_ICE_CREAM_LOW_SUGAR_TOTAL_GRAMS,readingMath,0.5215678516277534
KASHIGOLNORHR2HRTYPE,ever_smoked,0.5215678516277535
SPECIALKFLAVSTYPE,ever_smoked,0.5215678516277535
COOKINGFATSTICKMARG,ever_smoked,0.5215678516277535
ANTIOXIDANTCOMBOYEARS,ever_smoked,0.5215678516277535
VITAMINAYEARS,ever_smoked,0.5215678516277535
OMEGA3DONTKNOWTYPE,ever_smoked,0.5215678516277535
SUP_LZ,ever_smoked,0.5215678516277535
CAPNCRUNCHTYPE,never_smoked,0.5215678516277535
KASHIGOLNORHR2HRTYPE,never_smoked,0.5215678516277535
GROUP_CAP_N_CRUNCH_TOTAL_GRAMS,never_smoked,0.5215678516277535
GROUP_GRAPE_NUTS_TOTAL_GRAMS,never_smoked,0.5215678516277535
APPLEJACKSTYPE,readingMath,0.5215678516277535
CAPNCRUNCHTYPE,readingMath,0.5215678516277535
COCOAKRISPIESTYPE,readingMath,0.5215678516277535
FIBERONETYPE,readingMath,0.5215678516277535
COOKINGFATSTICKMARG,readingMath,0.5215678516277535
COOKINGFATSOFTTUBMARG,readingMath,0.5215678516277535
COOKINGFATLOWFATMARG,readingMath,0.5215678516277535
COOKINGFATLARD,readingMath,0.5215678516277535
COOKINGFATOTHER,readingMath,0.5215678516277535
VITAMINAYEARS,readingMath,0.5215678516277535
OMEGA3DONTKNOWTYPE,readingMath,0.5215678516277535
BLACK,readingMath,0.5215678516277535
APPLEJACKSTYPE,ever_smoked,0.5215678516277539
CAPNCRUNCHTYPE,ever_smoked,0.5215678516277539
COCOAKRISPIESTYPE,ever_smoked,0.5215678516277539
COOKINGFATSOFTTUBMARG,ever_smoked,0.5215678516277539
GROUP_CAP_N_CRUNCH_TOTAL_GRAMS,ever_smoked,0.5215678516277539
GROUP_CINNAMON_TOAST_CRUNCH_TOTAL_GRAMS,ever_smoked,0.5215678516277539
GROUP_GRAPE_NUTS_TOTAL_GRAMS,ever_smoked,0.5215678516277539
GROUP_LATTE_CAPPUCCINO_NON_FAT_MILK_TOTAL_GRAMS,ever_smoked,0.5215678516277539
ALLBRANORIGTYPE,never_smoked,0.5215678516277539
CINNTOASTCRTYPE,never_smoked,0.5215678516277539
OTHERFIBERCEREALTYPE,never_smoked,0.5215678516277539
GROUP_CINNAMON_TOAST_CRUNCH_TOTAL_GRAMS,never_smoked,0.5215678516277539
GROUP_COOK_FAT_MARGARINE_STICK_TOTAL_GRAMS,never_smoked,0.5215678516277539
ALLBRANORIGTYPE,readingMath,0.5215678516277539
OTHERFIBERCEREALTYPE,readingMath,0.5215678516277539
GROUP_GRAPE_NUTS_TOTAL_GRAMS,readingMath,0.5215678516277539
GROUP_OTHER_FIBER_CEREAL_TOTAL_GRAMS,readingMath,0.5215678516277539
GROUP_CAKE_LOW_FAT_TOTAL_GRAMS,readingMath,0.5215678516277539
APPLEJACKSTYPE,never_smoked,0.521567851627754
COCOAKRISPIESTYPE,never_smoked,0.521567851627754
COOKINGFATSOFTTUBMARG,never_smoked,0.521567851627754
GROUP_COCOA_KRISPIES_PEBBLES_PUFFS_TOTAL_GRAMS,never_smoked,0.521567851627754
GROUP_LATTE_CAPPUCCINO_NON_FAT_MILK_TOTAL_GRAMS,never_smoked,0.521567851627754
GROUP_COOK_FAT_MARGARINE_TUB_TOTAL_GRAMS,never_smoked,0.521567851627754
GROUP_COOK_FAT_MARGARINE_LOW_FAT_TOTAL_GRAMS,readingMath,0.521567851627754
ALLBRANORIGTYPE,ever_smoked,0.5215678516277541
CINNTOASTCRTYPE,ever_smoked,0.5215678516277541
OTHERFIBERCEREALTYPE,ever_smoked,0.5215678516277541
GROUP_ALL_BRAN_ORIGINAL_TOTAL_GRAMS,ever_smoked,0.5215678516277541
GROUP_COCOA_KRISPIES_PEBBLES_PUFFS_TOTAL_GRAMS,ever_smoked,0.5215678516277541
GROUP_OTHER_FIBER_CEREAL_TOTAL_GRAMS,ever_smoked,0.5215678516277541
GROUP_CAKE_LOW_SUGAR_TOTAL_GRAMS,ever_smoked,0.5215678516277541
GROUP_COOK_FAT_MARGARINE_STICK_TOTAL_GRAMS,ever_smoked,0.5215678516277541
GROUP_COOK_FAT_MARGARINE_TUB_TOTAL_GRAMS,ever_smoked,0.5215678516277541
GROUP_ALL_BRAN_ORIGINAL_TOTAL_GRAMS,never_smoked,0.5215678516277541
GROUP_CAKE_LOW_SUGAR_TOTAL_GRAMS,never_smoked,0.5215678516277541
GROUP_SODA_DIET_NO_CAFFEINE_TOTAL_GRAMS,never_smoked,0.5215678516277541
GROUP_APPLE_JACKS_COOKIE_CRISP_TOTAL_GRAMS,readingMath,0.5215678516277541
GROUP_CAP_N_CRUNCH_TOTAL_GRAMS,readingMath,0.5215678516277541
GROUP_FRAPPUCCINO_1_PCT_OR_2_PCT_MILK_TOTAL_GRAMS,readingMath,0.5215678516277541
GROUP_COOK_FAT_OTHER_OIL_COCONUT_VARIOUS_NFS_VEGETABLE_OILS_TOTAL_GRAMS,readingMath,0.5215678516277541
GROUP_OTHER_FIBER_CEREAL_TOTAL_GRAMS,never_smoked,0.5215678516277542
GROUP_LIFE_TOTAL_GRAMS,readingMath,0.5215678516277542
GROUP_COOK_FAT_MARGARINE_STICK_TOTAL_GRAMS,readingMath,0.5215678516277542
GROUP_COOK_FAT_MARGARINE_TUB_TOTAL_GRAMS,readingMath,0.5215678516277542
